problema;  modelo;  lb_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID000_M015_J015; liao; 1210.0; 15; 15; True; 1210.0000000000007; 1213.9999999950014; 0.003294892911875515; 1800; 3376; 2510; 244946244; 2387205; 6750; time limit exceeded; 7200.012168884277; True;  
ID000_M015_J015; liao_desig; 0; 15; 15; True; 1209.8823529411748; 1209.9999999999998; 9.722897423554076e-05; 8535; 3376; 2545; 55151430; 170950; 26295; integer optimal, tolerance; 2317.5953629016876; False;  
ID000_M015_J015; liao_desig; 1210.0; 15; 15; True; 1210.0; 1215.9999999999998; 0.004934210526315198; 8535; 3376; 2500; 118480860; 294915; 26295; time limit exceeded; 7200.009383201599; True;  
ID000_M015_J015; minla_fav; 0; 15; 15; False; nan; 982.4701986754965; nan; 10110; 1801; 1179; 3013; 0; 29445; optimal; 0.0841679573059082; False;  
ID000_M015_J015; minla_fav; 1210.0; 15; 15; False; nan; 1210.0; nan; 10110; 1801; 1163; 2088; 0; 29445; optimal; 0.07675313949584961; False;  
ID000_M015_J015; manne; 0; 15; 15; False; nan; 963.0; nan; 3375; 1801; 1033; 1032; 0; 9900; optimal; 0.0183870792388916; False;  
ID000_M015_J015; manne; 1210.0; 15; 15; False; nan; 1210.0; nan; 3375; 1801; 1033; 1032; 0; 9900; optimal; 0.017030954360961914; False;  
ID000_M015_J015; liao; 0; 15; 15; False; nan; 963.0; nan; 1800; 3376; 1785; 341; 0; 6750; optimal; 0.00755000114440918; False;  
ID000_M015_J015; liao; 1210.0; 15; 15; False; nan; 1210.0; nan; 1800; 3376; 1785; 341; 0; 6750; optimal; 0.007503032684326172; False;  
ID000_M015_J015; liao_desig; 0; 15; 15; False; nan; 982.4701986754966; nan; 8535; 3376; 2707; 2834; 0; 26295; optimal; 0.07775211334228516; False;  
ID000_M015_J015; liao_desig; 1210.0; 15; 15; False; nan; 1210.0; nan; 8535; 3376; 2601; 1984; 0; 26295; optimal; 0.09289097785949707; False;  
ID001_M015_J015; minla_fav; 0; 15; 15; True; 1176.888888888889; 1177.0; 9.440196356081258e-05; 10110; 1801; 988; 135651899; 544767; 29445; integer optimal, tolerance; 4448.060330867767; False;  
ID001_M015_J015; minla_fav; 1177.0; 15; 15; True; 1177.0; 1177.0; 0.0; 10110; 1801; 989; 12140539; 107343; 29445; integer optimal solution; 422.6638379096985; False;  
ID001_M015_J015; manne; 0; 15; 15; True; 1176.9666666666662; 1177.0; 2.8320589068610815e-05; 3375; 1801; 995; 69027037; 483156; 9900; integer optimal, tolerance; 973.6070730686188; False;  
ID001_M015_J015; manne; 1177.0; 15; 15; True; 1177.0; 1177.0; 0.0; 3375; 1801; 979; 13625535; 169871; 9900; integer optimal solution; 274.6130669116974; False;  
ID001_M015_J015; liao; 0; 15; 15; True; 1068.0; 1179.9999998822022; 0.09491525414692674; 1800; 3376; 2526; 165890113; 181670; 6750; time limit exceeded; 7200.615133047104; True;  
ID001_M015_J015; liao; 1177.0; 15; 15; True; 1177.0000000000007; 1196.0; 0.015886287625416162; 1800; 3376; 2508; 171828623; 550132; 6750; time limit exceeded; 7200.010540008545; True;  
ID001_M015_J015; liao_desig; 0; 15; 15; True; 1067.0374535964347; 1183.0; 0.09802413051864368; 8535; 3376; 2497; 107975746; 160358; 26295; time limit exceeded; 7200.563899040222; True;  
ID001_M015_J015; liao_desig; 1177.0; 15; 15; True; 1177.0; 1190.0; 0.010924369747898241; 8535; 3376; 2491; 114204047; 331418; 26295; time limit exceeded; 7200.013819932938; True;  
ID001_M015_J015; minla_fav; 0; 15; 15; False; nan; 945.6247810339937; nan; 10110; 1801; 1160; 3405; 0; 29445; optimal; 0.11780714988708496; False;  
ID001_M015_J015; minla_fav; 1177.0; 15; 15; False; nan; 1177.0; nan; 10110; 1801; 1082; 2476; 0; 29445; optimal; 0.09034395217895508; False;  
ID001_M015_J015; manne; 0; 15; 15; False; nan; 942.0; nan; 3375; 1801; 1024; 1023; 0; 9900; optimal; 0.0185089111328125; False;  
ID001_M015_J015; manne; 1177.0; 15; 15; False; nan; 1177.0; nan; 3375; 1801; 1024; 1023; 0; 9900; optimal; 0.018203020095825195; False;  
ID001_M015_J015; liao; 0; 15; 15; False; nan; 942.0; nan; 1800; 3376; 1787; 344; 0; 6750; optimal; 0.007451057434082031; False;  
ID001_M015_J015; liao; 1177.0; 15; 15; False; nan; 1177.0; nan; 1800; 3376; 1787; 346; 0; 6750; optimal; 0.01271200180053711; False;  
ID001_M015_J015; liao_desig; 0; 15; 15; False; nan; 945.6247810339936; nan; 8535; 3376; 2708; 2649; 0; 26295; optimal; 0.08191084861755371; False;  
