problema;  modelo;  lb_cmax; num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_nodes_processed; nb_linear_nonzeros; status; time; has_hit_limit 
ID009_M015_J015; minla_fav; 0; 15; 15; True; 1206.0; 1206.0; 0.0; 10110; 1801; 1056; 16359632; 89027; 29445; integer optimal solution; 626.7220258712769; False;  
ID009_M015_J015; minla_fav; 1206.0; 15; 15; True; 1206.0; 1206.0; 0.0; 10110; 1801; 1049; 2084191; 44800; 29445; integer optimal solution; 129.0505940914154; False;  
ID009_M015_J015; manne; 0; 15; 15; True; 1110.9677311168696; 1205.9999999999995; 0.07879955960457888; 3375; 1801; 1054; 312300349; 1285407; 9900; time limit exceeded; 7200.007378101349; True;  
ID009_M015_J015; manne; 1206.0; 15; 15; True; 1206.0; 1206.0; 0.0; 3375; 1801; 1045; 43463637; 483347; 9900; integer optimal solution; 816.7923028469086; False;  
ID009_M015_J015; liao; 0; 15; 15; True; 1039.9999999999982; 1239.9999999949978; 0.1612903225772502; 1800; 3376; 2589; 187970843; 206415; 6750; time limit exceeded; 7200.0158858299255; True;  
ID009_M015_J015; liao; 1206.0; 15; 15; True; 1206.0000000000007; 1228.0; 0.017915309446252057; 1800; 3376; 2556; 245880670; 1697177; 6750; time limit exceeded; 7200.109447002411; True;  
ID009_M015_J015; liao_desig; 0; 15; 15; True; 1205.8916408668788; 1205.9999998391004; 8.984989405973678e-05; 8535; 3376; 2578; 65195880; 239298; 26295; integer optimal, tolerance; 2488.6301159858704; False;  
ID009_M015_J015; liao_desig; 1206.0; 15; 15; True; 1206.0; 1206.0; 0.0; 8535; 3376; 2588; 62735644; 158010; 26295; integer optimal solution; 4636.670689105988; False;  
ID009_M015_J015; minla_fav; 0; 15; 15; False; nan; 988.8829191933197; nan; 10110; 1801; 1153; 3273; 0; 29445; optimal; 0.0959169864654541; False;  
ID009_M015_J015; minla_fav; 1206.0; 15; 15; False; nan; 1206.0; nan; 10110; 1801; 1261; 2154; 0; 29445; optimal; 0.07988405227661133; False;  
ID009_M015_J015; manne; 0; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 0; 9900; optimal; 0.020186185836791992; False;  
ID009_M015_J015; manne; 1206.0; 15; 15; False; nan; 1206.0; nan; 3375; 1801; 1108; 1107; 0; 9900; optimal; 0.02133011817932129; False;  
ID009_M015_J015; liao; 0; 15; 15; False; nan; 896.0; nan; 1800; 3376; 1785; 346; 0; 6750; optimal; 0.0074808597564697266; False;  
ID009_M015_J015; liao; 1206.0; 15; 15; False; nan; 1206.0; nan; 1800; 3376; 1786; 345; 0; 6750; optimal; 0.007791996002197266; False;  
ID009_M015_J015; liao_desig; 0; 15; 15; False; nan; 988.8829191933197; nan; 8535; 3376; 2691; 2907; 0; 26295; optimal; 0.0828099250793457; False;  
ID009_M015_J015; liao_desig; 1206.0; 15; 15; False; nan; 1206.0; nan; 8535; 3376; 2621; 1961; 0; 26295; optimal; 0.0790400505065918; False;  
